Date;Value
197001;-2.41
197002;-1.32
197003;-2.08
197004;0.3
197005;0.53
197006;0.88
197007;0.14
197008;-0.26
197009;0.03
197010;0.1
197011;0.38
197012;-0.4
197101;-0.16
197102;-0.92
197103;-1.09
197104;-0.58
197105;0.68
197106;-0.67
197107;-0.58
197108;0.82
197109;0.15
197110;1.19
197111;0.42
197112;0.82
197201;0.17
197202;-0.2
197203;-0.14
197204;1.01
197205;0.14
197206;-0.05
197207;-0.55
197208;-0.08
197209;-0.92
197210;0.39
197211;-0.38
197212;1.24
197301;1.23
197302;0.79
197303;0.54
197304;-1.13
197305;0.07
197306;0.53
197307;0.27
197308;0.31
197309;0.11
197310;0.34
197311;0
197312;-0.18
197401;0.23
197402;-0.49
197403;-0.75
197404;0.31
197405;-0.51
197406;-0.05
197407;0.39
197408;-0.53
197409;-0.14
197410;-1.02
197411;-0.43
197412;0.56
197501;1.59
197502;0.19
197503;0.15
197504;0.41
197505;-0.61
197506;-0.32
197507;0.34
197508;0.13
197509;1.28
197510;0.14
197511;0.62
197512;1.29
197601;0.03
197602;1.66
197603;0.59
197604;0.44
197605;0.06
197606;0.33
197607;-0.33
197608;0.56
197609;-0.74
197610;-0.8
197611;-0.09
197612;-2.07
197701;-3.77
197702;-2.01
197703;0.34
197704;1.33
197705;0.1
197706;-0.23
197707;-0.49
197708;-1.41
197709;0.59
197710;-0.01
197711;0.6
197712;-0.24
197801;-0.35
197802;-3.01
197803;0.5
197804;-0.97
197805;0.06
197806;0.64
197807;-0.6
197808;-0.35
197809;-0.1
197810;0.9
197811;2.47
197812;-0.98
197901;-2.23
197902;-0.7
197903;-0.81
197904;-1.16
197905;-0.25
197906;0.93
197907;0.04
197908;-0.68
197909;-0.05
197910;-1.24
197911;0.47
197912;1.29
198001;-2.07
198002;-0.93
198003;-1.43
198004;-0.42
198005;-1.16
198006;0.72
198007;-0.62
198008;-0.19
198009;0.31
198010;-0.52
198011;-1.36
198012;-0.06
198101;-0.12
198102;-0.33
198103;-1.65
198104;0.43
198105;0.18
198106;-0.44
198107;0.56
198108;-0.24
198109;-1.04
198110;-1.17
198111;-0.19
198112;-1.22
198201;-0.88
198202;0.97
198203;1.07
198204;1.45
198205;-0.21
198206;-1.18
198207;0.01
198208;0.36
198209;0.56
198210;-0.21
198211;0.66
198212;0.97
198301;1.36
198302;-1.81
198303;-0.57
198304;-0.74
198305;-0.44
198306;0.31
198307;0.13
198308;1.1
198309;0.17
198310;1.37
198311;-0.69
198312;0.19
198401;0.91
198402;-0.3
198403;-2.39
198404;-0.28
198405;0.48
198406;0.01
198407;0.02
198408;0.47
198409;-0.41
198410;-0.27
198411;-0.97
198412;0.45
198501;-2.81
198502;-1.44
198503;0.55
198504;0.65
198505;-0.43
198506;-0.35
198507;-0.39
198508;0
198509;0.11
198510;1.04
198511;-1.22
198512;-1.95
198601;-0.57
198602;-2.9
198603;1.93
198604;0.1
198605;0.37
198606;0.54
198607;-0.01
198608;-0.83
198609;-0.02
198610;1.43
198611;0.93
198612;0.06
198701;-1.15
198702;-1.47
198703;-1.75
198704;0.39
198705;0.33
198706;-0.71
198707;-0.47
198708;-0.84
198709;0.29
198710;-0.08
198711;-0.54
198712;-0.53
198801;0.27
198802;-1.07
198803;-0.2
198804;-0.56
198805;-0.85
198806;0.06
198807;-0.14
198808;0.26
198809;1.04
198810;0.03
198811;-0.04
198812;1.68
198901;3.11
198902;3.28
198903;1.53
198904;-0.25
198905;0.89
198906;0.35
198907;0.87
198908;0.55
198909;0.7
198910;0.99
198911;0.03
198912;-0.64
199001;1
199002;3.4
199003;2.99
199004;1.88
199005;0.94
199006;0.3
199007;-0.3
199008;-0.18
199009;-0.21
199010;0.66
199011;0.52
199012;1.28
199101;0.72
199102;-0.88
199103;-0.53
199104;0.53
199105;0.49
199106;-0.12
199107;-0.19
199108;0.8
199109;-0.11
199110;-0.25
199111;0.29
199112;1.61
199201;0.55
199202;1.12
199203;0.98
199204;-0.52
199205;1.34
199206;-0.3
199207;0.19
199208;0.54
199209;-0.64
199210;-0.37
199211;0.72
199212;1.63
199301;3.5
199302;0.18
199303;0.76
199304;-0.44
199305;-1.61
199306;-0.52
199307;-0.51
199308;-0.39
199309;-0.36
199310;-0.57
199311;1
199312;-0.1
199401;-0.29
199402;-0.86
199403;1.88
199404;0.23
199405;-0.12
199406;1.61
199407;0.35
199408;0.83
199409;-0.08
199410;0.17
199411;1.78
199412;0.89
199501;-0.15
199502;1.43
199503;0.39
199504;-0.96
199505;-0.89
199506;-0.11
199507;-0.22
199508;0.54
199509;-0.55
199510;0.08
199511;-0.72
199512;-2.13
199601;-1.2
199602;0.16
199603;-1.48
199604;-1.53
199605;-0.23
199606;0.5
199607;0.72
199608;0.13
199609;-1.14
199610;0.18
199611;0.14
199612;-1.72
199701;-0.46
199702;1.89
199703;1.09
199704;0.32
199705;-0.96
199706;-0.82
199707;-0.43
199708;0.12
199709;0.2
199710;-0.7
199711;-0.66
199712;-0.07
199801;-2.08
199802;-0.18
199803;-0.25
199804;-0.04
199805;0.43
199806;-0.71
199807;-0.21
199808;0.65
199809;-1.05
199810;0.29
199811;-1.45
199812;1.35
199901;0.11
199902;0.48
199903;-1.49
199904;0.28
199905;0.23
199906;0.71
199907;0
199908;-0.67
199909;0.06
199910;-0.01
199911;0.61
199912;1.04
200001;1.27
200002;1.08
200003;-0.45
200004;-0.28
200005;0.97
200006;0.59
200007;-0.65
200008;0.14
200009;0.4
200010;0.32
200011;-1.58
200012;-2.35
200101;-0.96
200102;-0.62
200103;-1.69
200104;0.91
200105;0.45
200106;-0.02
200107;-0.03
200108;0.52
200109;-0.71
200110;0.71
200111;0.82
200112;-1.32
200201;1.38
200202;1.3
200203;0.9
200204;0.75
200205;0.4
200206;0.57
200207;0.33
200208;-0.23
200209;-0.04
200210;-1.49
200211;-1.43
200212;-1.59
200301;-0.47
200302;0.13
200303;0.93
200304;-0.18
200305;1.02
200306;-0.1
200307;0.08
200308;-0.28
200309;0.47
200310;-0.67
200311;0.64
200312;0.27
200401;-1.69
200402;-1.53
200403;0.32
200404;-0.41
200405;-0.09
200406;-0.24
200407;-0.2
200408;-0.72
200409;0.86
200410;-0.52
200411;0.68
200412;1.23
200501;0.36
200502;-1.27
200503;-1.35
200504;-0.05
200505;-0.76
200506;-0.38
200507;-0.03
200508;0.03
200509;0.8
200510;0.03
200511;0.23
200512;-2.1
200601;-0.17
200602;-0.16
200603;-1.6
200604;0.14
200605;0.16
200606;1.07
200607;0.1
200608;-0.27
200609;0.61
200610;-1.03
200611;0.52
200612;2.28
200701;2.03
200702;-1.31
200703;1.18
200704;0.54
200705;0.89
200706;-0.56
200707;-0.4
200708;-0.03
200709;0.18
200710;0.38
200711;-0.52
200712;0.82
200801;0.82
200802;0.94
200803;0.59
200804;-0.46
200805;-1.21
200806;-0.09
200807;-0.48
200808;-0.08
200809;-0.33
200810;1.68
200811;0.09
200812;0.65
200901;0.8
200902;-0.67
200903;0.12
200904;0.97
200905;1.19
200906;-1.35
200907;-1.36
200908;-0.05
200909;0.88
200910;-1.54
200911;0.46
200912;-3.41
201001;-2.59
201002;-4.27
201003;-0.43
201004;-0.28
201005;-0.92
201006;-0.01
201007;0.44
201008;-0.12
201009;-0.87
201010;-0.47
201011;-0.38
201012;-2.63
201101;-1.68
201102;1.58
201103;1.42
201104;2.28
201105;-0.04
201106;-0.86
201107;-0.47
201108;-1.06
201109;0.67
201110;0.8
201111;1.46
201112;2.22
201201;-0.22
201202;-0.04
201203;1.04
201204;-0.04
201205;0.17
201206;-0.67
201207;0.17
201208;0.01
201209;0.77
201210;-1.51
201211;-0.11
201212;-1.75
201301;-0.61
201302;-1.01
201303;-3.19
201304;0.32
201305;0.49
201306;0.55
201307;-0.01
201308;0.15
201309;-0.46
201310;0.26
201311;2.03
201312;1.48
201401;-0.97
201402;0.04
201403;1.21
201404;0.97
201405;0.46
201406;-0.51
201407;-0.49
201408;-0.37
201409;0.1
201410;-1.13
201411;-0.53
201412;0.41
201501;1.09
201502;1.04
201503;1.84
201504;1.22
201505;0.76
201506;0.43
201507;-1.11
201508;-0.69
201509;-0.17
201510;-0.25
201511;1.95
201512;1.44
201601;-1.45
201602;-0.02
201603;0.28
201604;-1.05
201605;-0.04
201606;0.31
201607;0.09
201608;0.47
201609;0.78
201610;-1.92
201611;-0.61
201612;1.79
201701;0.94
201702;0.34
201703;1.37
201704;-0.09
201705;-0.73
201706;0.4
201707;0.63
201708;0.15
201709;-0.49
201710;0.69
201711;-0.08
201712;-0.06
201801;-0.28
201802;0.11
201803;-0.94
201804;0.54
201805;1.18
201806;0.38
201807;0.61
201808;0.84
201809;0.59
201810;0.41
201811;-1.12
201812;0.11
201901;-0.71
201902;1.15
201903;2.12
201904;-0.26
201905;-1.23
201906;-0.6
201907;-0.89
201908;-0.72
201909;0.31
201910;-0.08
201911;-1.19
201912;0.41
202001;2.42
202002;3.42
202003;2.64
202004;0.93
202005;-0.03
